"hotel_id","hotel_name_ar","hotel_name_en","destination","package_names","main_image_filename","official_source_url","source_type","verification_status","notes"
"falcon-naama-star","فالكون نعمة ستار","Falcon Naama Star","شرم الشيخ","باقة Select","/images/hotels/sharm-el-sheikh/falcon-naama-star.webp","https://falcon-hotels.com/naamastar/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"falcon-hills","فالكون هيلز","Falcon Hills","شرم الشيخ","باقة Select","/images/hotels/sharm-el-sheikh/falcon-hills.webp","https://falcon-hotels.com/hills/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sharm-holiday","شرم هوليداي","Sharm Holiday","شرم الشيخ","باقة Select","/images/hotels/sharm-el-sheikh/sharm-holiday.webp","https://sharm-holiday-resort.sharmelsheikhotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"san-george","سان جورج","San George","شرم الشيخ","باقة Premium","/images/hotels/sharm-el-sheikh/san-george.webp","https://xperiencestgeorgehomestay.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"dreams-vacation","دريمز فاكيشن","Dreams Vacation","شرم الشيخ","باقة Premium","/images/hotels/sharm-el-sheikh/dreams-vacation.webp","https://dreams-vacation.sharmel-sheikhhotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"gafy-resort","الجافي","Gafy Resort","شرم الشيخ","باقة Premium","/images/hotels/sharm-el-sheikh/gafy-resort.webp","https://gafyresort.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"regency-plaza-aqua-park","ريجنسي بلازا اكوا بارك","Regency Plaza Aqua Park","شرم الشيخ","باقة Premium","/images/hotels/sharm-el-sheikh/regency-plaza-aqua-park.webp","https://regencyplazaresort.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sheraton-sharm","شيراتون شرم","Sheraton Sharm","شرم الشيخ","باقة Premium","/images/hotels/sharm-el-sheikh/sheraton-sharm.webp","https://www.marriott.com/en-us/hotels/sshsi-sheraton-sharm-hotel-resort-villas-and-spa/overview/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"dreams-beach","دريمز بيتش","Dreams Beach","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/dreams-beach.webp","https://dreams-beach-resort-sharm-el-sheikh.sharmelsheikhotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"promenade-mountain","بروميناد ماونتن","Promenade Mountain","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/promenade-mountain.webp","https://all.accor.com/hotel/B6T1/index.en.shtml","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"naama-bay","نعمه باي","Naama Bay","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/naama-bay.webp","https://www.trophyhotels.com/Naama-Bay-Hotel-Resort.php","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sharmillion-club-aqua-park","شارمليون كلوب اكوا بارك","Sharmillion Club Aqua Park","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/sharmillion-club-aqua-park.webp","https://charmillionresorts.com/home/clubaquapark/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"kiroseiz-parkland","كيروسيز بارك لاند","Kiroseiz Parkland","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/kiroseiz-parkland.webp","https://xperience-hotels.com/our-resorts/xperience-kiroseiz-parkland/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"tamra-beach","تمره بيتش","Tamra Beach","شرم الشيخ","باقة Elite","/images/hotels/sharm-el-sheikh/tamra-beach.webp","https://tamrabeachresort.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-royal-grand","الباتروس رويال جراند (كبار فقط)","Pickalbatros Royal Grand (Adults Only)","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-royal-grand.webp","https://www.pickalbatros.com/royal-grand-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-aqua-park-sharm-el-sheikh","الباتروس اكوا بارك","Pickalbatros Aqua Park","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-aqua-park-sharm-el-sheikh.webp","https://www.pickalbatros.com/aqua-park-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-aqua-blu-sharm-el-sheikh","الباتروس اكوا بلو","Pickalbatros Aqua Blu","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-aqua-blu-sharm-el-sheikh.webp","https://www.pickalbatros.com/aqua-blu-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-sharm","الباتروس شرم","Pickalbatros Sharm","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-sharm.webp","https://www.pickalbatros.com/albatros-sharm-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-laguna-club","الباتروس لاجونا كلوب","Pickalbatros Laguna Club","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-laguna-club.webp","https://www.pickalbatros.com/laguna-club-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-palace","الباتروس بالاس","Pickalbatros Palace","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-palace.webp","https://www.pickalbatros.com/palace-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-laguna-vista","الباتروس لاجونا فيستا","Pickalbatros Laguna Vista","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-laguna-vista.webp","https://www.pickalbatros.com/laguna-vista-hotel-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-royal-moderna","الباتروس رويال موديرنا","Pickalbatros Royal Moderna","شرم الشيخ","مجموعة الباتروس","/images/hotels/sharm-el-sheikh/pickalbatros-royal-moderna.webp","https://www.pickalbatros.com/royal-moderna-resort-sharm-el-sheikh","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"downtown-dahab","داون تاون","Downtown Dahab","دهب","عروض دهب","/images/hotels/dahab/downtown-dahab.webp","https://downtown.redseahotelsegypt.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"nesima-dahab","نسيمة دهب","Nesima Dahab","دهب","عروض دهب","/images/hotels/dahab/nesima-dahab.webp","https://nesimaresort.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"dahab-lagoon","دهب لاجون","Dahab Lagoon","دهب","عروض دهب","/images/hotels/dahab/dahab-lagoon.webp","https://dahablagoon.com/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"swiss-inn-dahab","سويس ان دهب","Swiss Inn Dahab","دهب","عروض دهب","/images/hotels/dahab/swiss-inn-dahab.webp","https://swissinnresort.southsinaihotels.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"tropitel-dahab","تروبيتال دهب","Tropitel Dahab","دهب","عروض دهب","/images/hotels/dahab/tropitel-dahab.webp","https://www.tropitelhotels.com/tropitel-dahab-oasis","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"minamark","مينا مارك","Minamark Beach Resort","الغردقة","باقة Select","/images/hotels/hurghada/minamark.webp","https://minamark.com/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"marlin-inn","مارلين ان","Marlin Inn Azur","الغردقة","باقة Select","/images/hotels/hurghada/marlin-inn.webp","https://www.azurhospitality.com/en/hurghada/hotel/marlin-inn-azur","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sunny-days-mirette-family","صنى دايز ميريت فاميلى","Sunny Days Mirette Family","الغردقة","باقة Select","/images/hotels/hurghada/sunny-days-mirette-family.webp","https://sunnydaysegypt.com/mirrette/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"giftun-azur","الجفتون ازور","El Giftun Azur","الغردقة","باقة Select","/images/hotels/hurghada/giftun-azur.webp","https://giftunazurresort.hotelshurghada.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pharaoh-azur","فارو ازور","Pharaoh Azur Resort","الغردقة","باقة Premium","/images/hotels/hurghada/pharaoh-azur.webp","https://pharaohazurresort.hotelshurghada.com/en/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sunny-days-el-palacio","صنى دايز البلاسيو","Sunny Days El Palacio","الغردقة","باقة Premium","/images/hotels/hurghada/sunny-days-el-palacio.webp","https://sunnydaysegypt.com/el-palacio-resort-spa/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sindbad-club","سندباد","Sindbad Club","الغردقة","باقة Premium","/images/hotels/hurghada/sindbad-club.webp","https://sindbadclub.com/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"seagull","سيجال","Seagull Beach Resort","الغردقة","باقة Premium","/images/hotels/hurghada/seagull.webp","https://www.hurghadaseagull.com/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"three-corners-sunny-beach","ثرى كورنرز صنى بيتش","Three Corners Sunny Beach","الغردقة","باقة Premium","/images/hotels/hurghada/three-corners-sunny-beach.webp","https://threecornerssunny.beachresort.net/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"gravity-aqua-park","جرافيتى اكوا بارك","Gravity Hotel & Aqua Park","الغردقة","باقة Elite","/images/hotels/hurghada/gravity-aqua-park.webp","https://hotelsgravity.com/gravity-hotel-aqua-park-hurghada/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"desert-rose","ديزرت روز","Desert Rose Resort","الغردقة","باقة Elite","/images/hotels/hurghada/desert-rose.webp","https://www.desertrose.com/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"sheraton-soma-bay","شيراتون سوما باى","Sheraton Soma Bay","الغردقة","باقة Elite","/images/hotels/hurghada/sheraton-soma-bay.webp","https://www.marriott.com/en-us/hotels/hrgss-sheraton-soma-bay-resort/overview/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-white-beach","الباتروس وايت بيتش","Pickalbatros White Beach","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-white-beach.webp","https://www.pickalbatros.com/white-beach-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-dana-beach","الباتروس دانا بيتش","Pickalbatros Dana Beach","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-dana-beach.webp","https://www.pickalbatros.com/dana-beach-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-plus-hurghada","الباتروس بلاس","Pickalbatros Palace","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-plus-hurghada.webp","https://www.pickalbatros.com/palace-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"beach-albatros","بيتش الباتروس","Beach Albatros Resort","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/beach-albatros.webp","https://www.pickalbatros.com/beach-albatros-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-aqua-blu-hurghada","الباتروس اكوا بلو","Pickalbatros Aqua Blu","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-aqua-blu-hurghada.webp","https://www.pickalbatros.com/aqua-blu-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-aqua-park-hurghada","الباتروس اكوا بارك","Pickalbatros Aqua Park","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-aqua-park-hurghada.webp","https://www.pickalbatros.com/aqua-park-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-aqua-vista","الباتروس اكوا فيستا","Pickalbatros Aqua Vista","الغردقة","مجموعة الباتروس","/images/hotels/hurghada/pickalbatros-aqua-vista.webp","https://www.pickalbatros.com/aqua-vista-resort-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-water-valley","الباتروس واتر فالى","Pickalbatros Water Valley","الغردقة","مجموعة نيفرلاند","/images/hotels/hurghada/pickalbatros-water-valley.webp","https://www.pickalbatros.com/water-valley-resort-neverland-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-jungle-aqua-park","الباتروس جانجل اكوا بارك","Pickalbatros Jungle Aqua Park","الغردقة","مجموعة نيفرلاند","/images/hotels/hurghada/pickalbatros-jungle-aqua-park.webp","https://www.pickalbatros.com/jungle-aqua-park-resort-neverland-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-alf-leila-wa-leila","الباتروس ألف ليلة وليلة","Pickalbatros Alf Leila Wa Leila","الغردقة","مجموعة نيفرلاند","/images/hotels/hurghada/pickalbatros-alf-leila-wa-leila.webp","https://www.pickalbatros.com/alf-leila-wa-leila-resort-neverland-hurghada","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-sea-world","الباتروس سي ورلد","Pickalbatros Sea World","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-sea-world.webp","https://www.pickalbatros.com/sea-world-resort-marsa-alam","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-plus-marsa-alam","الباتروس بلاس","Pickalbatros Palace","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-plus-marsa-alam.webp","https://www.pickalbatros.com/palace-hotel-port-ghalib","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-oasis","الباتروس أوازيس","Pickalbatros Oasis","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-oasis.webp","https://www.pickalbatros.com/oasis-hotel-port-ghalib","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-sands","الباتروس ساندس","Pickalbatros Sands","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-sands.webp","https://www.pickalbatros.com/sands-hotel-port-ghalib","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-porto-fino","الباتروس بورتو فينو","Pickalbatros Porto Fino","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-porto-fino.webp","https://www.pickalbatros.com/villaggio-resort-portofino-marsa-alam","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"pickalbatros-vita","الباتروس فيتا","Pickalbatros Vita","مرسى علم","مجموعة الباتروس","/images/hotels/marsa-alam/pickalbatros-vita.webp","https://www.pickalbatros.com/vita-resort-portofino-marsa-alam","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"jiwan-resort","جيوان ريزورت","Jiwan Resort","الساحل الشمالي","فنادق الساحل الشمالي","/images/hotels/north-coast/jiwan-resort.webp","https://gewanhotels.com/hotels/gewan-resort-new-alamein/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"jiwan-beach","جيوان بيتش","Jiwan Beach","الساحل الشمالي","فنادق الساحل الشمالي","/images/hotels/north-coast/jiwan-beach.webp","https://gewanhotels.com/hotels/gewan-white-beach-resort-new-alamein/","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"azur-one","ازور وان","Azur One","الساحل الشمالي","فنادق الساحل الشمالي","/images/hotels/north-coast/azur-one.webp","https://www.azurhospitality.com/en/north-coast/azur-one-eleven-hotel","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
"porto-marina","بورتو مارينا","Porto Marina","الساحل الشمالي","فنادق الساحل الشمالي","/images/hotels/north-coast/porto-marina.webp","https://www.portohotelseg.com/marina-Hotel-home","official-hotel-group","verified","Real hero photo from the official resort page; optimized locally."
